url,res_code,content_type,res_time,redirect_url
mail.elementary-s.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.177638s,http://www.elementary-s.tsukuba.ac.jp/
mail.mibel.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.075223s,http://www.mibel.cs.tsukuba.ac.jp/
mail.softlab.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.061296s,http://www.softlab.cs.tsukuba.ac.jp/
mail.tac.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.081874s,https://mail.tac.tsukuba.ac.jp/
manaba.tsukuba.ac.jp,301,text/html,0.114680s,https://manaba.tsukuba.ac.jp/
math.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.104580s,http://nc.math.tsukuba.ac.jp/
mdl.cs.tsukuba.ac.jp,301,text/html,0.065187s,https://mdl.cs.tsukuba.ac.jp/
mibel.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.099608s,http://www.mibel.cs.tsukuba.ac.jp/
milab.is.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.100047s,http://www.mibel.cs.tsukuba.ac.jp/
moeller.jinsha.tsukuba.ac.jp,301,text/html,0.269248s,https://moeller.jinsha.tsukuba.ac.jp/
msc.tsukuba.ac.jp,301,text/html,0.145495s,https://msc.tsukuba.ac.jp/
na.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.103488s,https://na.cs.tsukuba.ac.jp/
ns.aclab.esys.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.078436s,https://www.aclab.esys.tsukuba.ac.jp/
pas.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.108379s,https://grad.pas.tsukuba.ac.jp/
paulownia.kiri-s.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.067916s,https://www.kiri-s.tsukuba.ac.jp/
pepp.hass.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.078678s,https://pepp.hass.tsukuba.ac.jp/
pfp.hass.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.081700s,https://pfp.hass.tsukuba.ac.jp/
plesk.cc.tsukuba.ac.jp,301,text/html,0.084019s,https://plesk.cc.tsukuba.ac.jp/
rcdh.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.103331s,https://rcdh.tsukuba.ac.jp/
redmine.twins.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.081408s,https://redmine.twins.tsukuba.ac.jp/
riekisohan.sec.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.071668s,https://riekisohan.sec.tsukuba.ac.jp/
saba.aclab.esys.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.037349s,https://www.aclab.esys.tsukuba.ac.jp/
scpj.tsukuba.ac.jp,301,text/html,0.086703s,https://scpj.tsukuba.ac.jp/
serv2.hpcs.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.036812s,https://www.hpcs.cs.tsukuba.ac.jp/
shako.sk.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.061113s,https://www.sk.tsukuba.ac.jp/
sk.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.095620s,https://www.sk.tsukuba.ac.jp/
sleepymouse.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.109710s,http://sleepymouse.jp/
softether27.cc.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.076554s,http://www.softether.jp/
sohosai.tsukuba.ac.jp,301,text/html,0.097927s,https://www.sohosai.tsukuba.ac.jp/
sportneurosci.taiiku.tsukuba.ac.jp,301,text/html,0.072521s,https://sportneurosci.taiiku.tsukuba.ac.jp/
srlab.slis.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.069956s,https://srlab.slis.tsukuba.ac.jp/
staff.chem.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.038558s,https://chemistry.tsukuba.ac.jp/
suiri.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.583940s,http://www.ied.tsukuba.ac.jp/
sv-www.cvlab.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.072885s,https://home.cvlab.cs.tsukuba.ac.jp/
sv.hcs.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.089463s,http://www.hcs.tsukuba.ac.jp/
sv.sk.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.062890s,https://www.sk.tsukuba.ac.jp/
tara.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.106758s,https://www1.tara.tsukuba.ac.jp/
teach.hass.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.074431s,https://teach.hass.tsukuba.ac.jp/
tgsw.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.086759s,https://tgsw.tsukuba.ac.jp/
tims.cc.tsukuba.ac.jp,301,text/html,0.064488s,https://tims.cc.tsukuba.ac.jp/
tivoli.ska.life.tsukuba.ac.jp,301,text/html,0.043256s,https://tivoli.ska.life.tsukuba.ac.jp/
trans.hass.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.073818s,https://trans.hass.tsukuba.ac.jp/
trios.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.087109s,https://trios.tsukuba.ac.jp/
turnbull.sk.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.077940s,https://turnbull.sk.tsukuba.ac.jp/
ura.sec.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.075874s,https://ura.sec.tsukuba.ac.jp/
utvpn.tsukuba.ac.jp,301,text/html; charset=utf-8,1.352026s,http://utvpn.tsukuba.ac.jp/ja/
voyager.hlla.is.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.077412s,http://www.softlab.cs.tsukuba.ac.jp/
wdb.jinsha.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.075590s,https://wdb.jinsha.tsukuba.ac.jp/
web01.u.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.586301s,https://web01.u.tsukuba.ac.jp/
webmail.sugadaira.tsukuba.ac.jp,301,text/html,0.086244s,https://webmail.sugadaira.tsukuba.ac.jp/
wmail.u.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.073005s,https://wmail.u.tsukuba.ac.jp/
wmail01.u.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.084619s,https://wmail01.u.tsukuba.ac.jp/
wmail02.u.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.083454s,https://wmail02.u.tsukuba.ac.jp/
wpi-iiis.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.109939s,https://wpi-iiis.tsukuba.ac.jp/
www.aclab.esys.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.125324s,https://www.aclab.esys.tsukuba.ac.jp/
www.ap-graduate.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.084050s,https://www.ap-graduate.tsukuba.ac.jp/
www.bbo.cs.tsukuba.ac.jp,301,application/binary,0.295673s,https://www.bbo.cs.tsukuba.ac.jp/
www.biol.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.099635s,https://www.biol.tsukuba.ac.jp/
www.blaw.gsbs.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.537705s,https://www.blaw.gsbs.tsukuba.ac.jp/
www.chem.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.119304s,https://chemistry.tsukuba.ac.jp/
www.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.078304s,https://www.cs.tsukuba.ac.jp/
www.cvlab.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.071802s,https://home.cvlab.cs.tsukuba.ac.jp/
www.ddna.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.125676s,https://www.ddna.cs.tsukuba.ac.jp/
www.ddna.is.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.136419s,https://www.ddna.cs.tsukuba.ac.jp/
www.deaf-s.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.066425s,https://www.deaf-s.tsukuba.ac.jp/
www.earth.tsukuba.ac.jp,301,application/binary,0.310852s,https://www.earth.tsukuba.ac.jp/
www.esys.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.094168s,https://www.esys.tsukuba.ac.jp/
www.geijutsu.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.071381s,https://www.geijutsu.tsukuba.ac.jp/
www.gene.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.081253s,https://gene.t-pirc.tsukuba.ac.jp/
www.geol.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.074363s,https://www.geol.tsukuba.ac.jp/
www.hass.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.113574s,https://www.hass.tsukuba.ac.jp/
www.hcomp.cs.tsukuba.ac.jp,301,text/html,0.274733s,https://hcomp.cs.tsukuba.ac.jp/
www.heritage.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.076352s,https://www.heritage.tsukuba.ac.jp/
www.hokekan.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.085916s,https://www.hokekan.tsukuba.ac.jp/
www.hpcs.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.145561s,https://www.hpcs.cs.tsukuba.ac.jp/
www.humcul.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.110250s,https://www.humcul.tsukuba.ac.jp/
www.ialab.cs.tsukuba.ac.jp,301,text/html,0.075443s,https://www.ialab.cs.tsukuba.ac.jp/
www.image.esys.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.066949s,http://www.image.iit.tsukuba.ac.jp/
www.iplab.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.111267s,https://www.iplab.cs.tsukuba.ac.jp/
www.japan.tsukuba.ac.jp,301,text/html,0.572865s,http://japan.tsukuba.ac.jp/
www.jinsha.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.070480s,https://www.jinsha.tsukuba.ac.jp/
www.kiri-s.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.106017s,https://www.kiri-s.tsukuba.ac.jp/
www.kokusai.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.098875s,https://www.kokusai.tsukuba.ac.jp/
www.lawschool.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.074678s,https://www.lawschool.tsukuba.ac.jp/
www.math.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.079176s,http://nc.math.tsukuba.ac.jp/
www.mbs.life.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.117064s,https://www.mbs.life.tsukuba.ac.jp/
www.mdl.cs.tsukuba.ac.jp,301,text/html,0.061666s,https://www.mdl.cs.tsukuba.ac.jp/
www.mma.cs.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.174491s,https://www.mma.cs.tsukuba.ac.jp/
www.office.otsuka.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.089450s,https://www.office.otsuka.tsukuba.ac.jp/
